Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
5_25,20.07947973,19.87347313,19.66746653,19.46145993,19.25545332,19.04944672,18.84344012,18.63743352,18.43142692,18.22542031,18.01941371,17.81340711,17.60740051,17.40139391,17.1953873,16.9893807,16.7833741,17.04706715,17.3107602,17.57445324,17.83814629,18.10183934,18.36553239,18.62922544,18.89291848,19.15661153,19.42030458,19.68399763,19.94769068,20.21138372,20.47507677,20.73876982,21.00246287,21.26615592,21.52984896,21.79354201,22.05723506,22.05723506,22.05723506,22.05723506,21.83819848,21.6191619,21.40012532,21.18108873,20.96205215,20.74301557,20.52397899,20.30494241
5_26,20.08590583,19.86686924,19.64783266,19.42879608,19.2097595,18.99072292,18.77168634,18.55264975,18.33361317,18.11457659,17.89554001,17.67650343,17.45746685,17.23843026,17.01939368,16.8003571,16.58132052,16.8394318,17.09754308,17.35565435,17.61376563,17.87187691,18.12998819,18.38809947,18.64621074,18.90432202,19.1624333,19.42054458,19.67865586,19.93676713,20.19487841,20.45298969,20.71110097,20.96921225,21.22732352,21.4854348,21.74354608,21.74354608,21.74354608,21.74354608,21.54001714,21.33648819,21.13295925,20.92943031,20.72590137,20.52237242,20.31884348,20.11531454
5_27,19.91178559,19.70825665,19.50472771,19.30119877,19.09766982,18.89414088,18.69061194,18.487083,18.28355405,18.08002511,17.87649617,17.67296722,17.46943828,17.26590934,17.0623804,16.85885145,16.65532251,16.92823641,17.20115032,17.47406422,17.74697812,18.01989203,18.29280593,18.56571983,18.83863373,19.11154764,19.38446154,19.65737544,19.93028935,20.20320325,20.47611715,20.74903106,21.02194496,21.29485886,21.56777276,21.84068667,22.11360057,22.11360057,22.11360057,22.11360057,21.90562403,21.69764748,21.48967094,21.28169439,21.07371785,20.8657413,20.65776476,20.44978821
5_28,20.24181167,20.03383513,19.82585858,19.61788204,19.40990549,19.20192895,18.9939524,18.78597586,18.57799932,18.37002277,18.16204623,17.95406968,17.74609314,17.53811659,17.33014005,17.1221635,16.91418696,17.15714511,17.40010326,17.64306141,17.88601956,18.12897771,18.37193586,18.61489401,18.85785216,19.10081031,19.34376846,19.58672661,19.82968476,20.07264291,20.31560106,20.55855921,20.80151736,21.04447551,21.28743366,21.53039181,21.77334996,21.77334996,21.77334996,21.77334996,21.57074702,21.36814408,21.16554115,20.96293821,20.76033527,20.55773233,20.35512939,20.15252646
5_29,19.94992352,19.74732058,19.54471764,19.3421147,19.13951177,18.93690883,18.73430589,18.53170295,18.32910001,18.12649708,17.92389414,17.7212912,17.51868826,17.31608532,17.11348239,16.91087945,16.70827651,16.98706078,17.26584505,17.54462932,17.82341359,18.10219786,18.38098213,18.6597664,18.93855067,19.21733494,19.49611921,19.77490348,20.05368775,20.33247202,20.61125629,20.89004056,21.16882483,21.4476091,21.72639337,22.00517764,22.28396191,22.28396191,22.28396191,22.28396191,22.07491684,21.86587178,21.65682671,21.44778165,21.23873658,21.02969151,20.82064645,20.61160138
5_30,20.40255632,20.19351125,19.98446618,19.77542112,19.56637605,19.35733099,19.14828592,18.93924085,18.73019579,18.52115072,18.31210566,18.10306059,17.89401552,17.68497046,17.47592539,17.26688033,17.05783526,17.30554992,17.55326457,17.80097923,18.04869389,18.29640855,18.5441232,18.79183786,19.03955252,19.28726718,19.53498183,19.78269649,20.03041115,20.27812581,20.52584046,20.77355512,21.02126978,21.26898444,21.51669909,21.76441375,22.01212841,22.01212841,22.01212841,22.01212841,21.80908759,21.60604677,21.40300594,21.19996512,20.9969243,20.79388348,20.59084266,20.38780183
5_31,20.18476101,19.98172019,19.77867937,19.57563855,19.37259772,19.1695569,18.96651608,18.76347526,18.56043444,18.35739361,18.15435279,17.95131197,17.74827115,17.54523033,17.3421895,17.13914868,16.93610786,17.21498744,17.49386702,17.7727466,18.05162617,18.33050575,18.60938533,18.88826491,19.16714449,19.44602407,19.72490365,20.00378322,20.2826628,20.56154238,20.84042196,21.11930154,21.39818112,21.67706069,21.95594027,22.23481985,22.51369943,22.51369943,22.51369943,22.51369943,22.29396273,22.07422604,21.85448934,21.63475264,21.41501595,21.19527925,20.97554255,20.75580586
6_1,20.53606916,20.31633246,20.09659577,19.87685907,19.65712237,19.43738567,19.21764898,18.99791228,18.77817558,18.55843889,18.33870219,18.11896549,17.8992288,17.6794921,17.4597554,17.24001871,17.02028201,17.29468165,17.5690813,17.84348094,18.11788058,18.39228023,18.66667987,18.94107951,19.21547916,19.4898788,19.76427844,20.03867809,20.31307773,20.58747738,20.86187702,21.13627666,21.41067631,21.68507595,21.95947559,22.23387524,22.50827488,22.50827488,22.50827488,22.50827488,22.27902944,22.04978401,21.82053857,21.59129314,21.3620477,21.13280226,20.90355683,20.67431139
6_2,20.44506596,20.21582052,19.98657508,19.75732965,19.52808421,19.29883878,19.06959334,18.8403479,18.61110247,18.38185703,18.1526116,17.92336616,17.69412072,17.46487529,17.23562985,17.00638442,16.77713898,17.0363463,17.29555363,17.55476095,17.81396827,18.07317559,18.33238292,18.59159024,18.85079756,19.11000489,19.36921221,19.62841953,19.88762686,20.14683418,20.4060415,20.66524882,20.92445615,21.18366347,21.44287079,21.70207812,21.96128544,21.96128544,21.96128544,21.96128544,21.77502743,21.58876942,21.40251141,21.2162534,21.02999538,20.84373737,20.65747936,20.47122135
6_3,20.28496334,20.09870533,19.91244732,19.72618931,19.53993129,19.35367328,19.16741527,18.98115726,18.79489925,18.60864124,18.42238323,18.23612522,18.0498672,17.86360919,17.67735118,17.49109317,17.30483516,17.54287513,17.78091511,18.01895508,18.25699506,18.49503503,18.73307501,18.97111498,19.20915496,19.44719493,19.68523491,19.92327488,20.16131486,20.39935483,20.63739481,20.87543478,21.11347476,21.35151473,21.58955471,21.82759468,22.06563466,22.06563466,22.06563466,22.06563466,21.87166149,21.67768831,21.48371514,21.28974197,21.0957688,20.90179562,20.70782245,20.51384928
6_4,20.3198761,20.12590293,19.93192976,19.73795659,19.54398341,19.35001024,19.15603707,18.9620639,18.76809072,18.57411755,18.38014438,18.1861712,17.99219803,17.79822486,17.60425169,17.41027851,17.21630534,17.47726651,17.73822769,17.99918886,18.26015004,18.52111121,18.78207238,19.04303356,19.30399473,19.56495591,19.82591708,20.08687825,20.34783943,20.6088006,20.86976178,21.13072295,21.39168412,21.6526453,21.91360647,22.17456765,22.43552882,22.43552882,22.43552882,22.43552882,22.228355,22.02118119,21.81400737,21.60683355,21.39965974,21.19248592,20.9853121,20.77813829
6_5,20.57096447,20.36379065,20.15661684,19.94944302,19.7422692,19.53509538,19.32792157,19.12074775,18.91357393,18.70640012,18.4992263,18.29205248,18.08487867,17.87770485,17.67053103,17.46335722,17.2561834,17.55049713,17.84481086,18.1391246,18.43343833,18.72775206,19.02206579,19.31637952,19.61069326,19.90500699,20.19932072,20.49363445,20.78794818,21.08226192,21.37657565,21.67088938,21.96520311,22.25951684,22.55383058,22.84814431,23.14245804,23.14245804,23.14245804,23.14245804,22.89445878,22.64645952,22.39846027,22.15046101,21.90246175,21.65446249,21.40646324,21.15846398
6_6,20.91046472,20.66246546,20.41446621,20.16646695,19.91846769,19.67046843,19.42246918,19.17446992,18.92647066,18.6784714,18.43047215,18.18247289,17.93447363,17.68647437,17.43847512,17.19047586,16.9424766,17.20758858,17.47270057,17.73781255,18.00292453,18.26803652,18.5331485,18.79826048,19.06337247,19.32848445,19.59359643,19.85870842,20.1238204,20.38893239,20.65404437,20.91915635,21.18426834,21.44938032,21.7144923,21.97960429,22.24471627,22.24471627,22.24471627,22.24471627,22.05459569,21.86447511,21.67435453,21.48423395,21.29411337,21.10399279,20.91387221,20.72375163
6_7,20.53363105,20.34351047,20.15338989,19.96326931,19.77314873,19.58302815,19.39290757,19.20278699,19.01266641,18.82254583,18.63242525,18.44230467,18.25218409,18.06206351,17.87194293,17.68182235,17.49170177,17.72580649,17.95991121,18.19401594,18.42812066,18.66222538,18.8963301,19.13043482,19.36453955,19.59864427,19.83274899,20.06685371,20.30095843,20.53506316,20.76916788,21.0032726,21.23737732,21.47148204,21.70558677,21.93969149,22.17379621,22.17379621,22.17379621,22.17379621,21.97009447,21.76639272,21.56269098,21.35898923,21.15528749,20.95158574,20.747884,20.54418225
6_8,20.34048051,20.13677877,19.93307702,19.72937528,19.52567353,19.32197179,19.11827004,18.9145683,18.71086656,18.50716481,18.30346307,18.09976132,17.89605958,17.69235783,17.48865609,17.28495434,17.0812526,17.32882741,17.57640222,17.82397704,18.07155185,18.31912666,18.56670147,18.81427629,19.0618511,19.30942591,19.55700072,19.80457554,20.05215035,20.29972516,20.54729997,20.79487479,21.0424496,21.29002441,21.53759922,21.78517404,22.03274885,22.03274885,22.03274885,22.03274885,21.84007793,21.647407,21.45473608,21.26206516,21.06939423,20.87672331,20.68405239,20.49138146
