Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
5_11,21.09852487,20.86623451,20.63394415,20.40165379,20.16936343,19.93707307,19.70478271,19.47249235,19.24020199,19.00791164,18.77562128,18.54333092,18.31104056,18.0787502,17.84645984,17.61416948,17.38187912,17.65352067,17.92516222,18.19680377,18.46844532,18.74008687,19.01172842,19.28336997,19.55501152,19.82665307,20.09829462,20.36993617,20.64157772,20.91321927,21.18486082,21.45650237,21.72814392,21.99978547,22.27142702,22.54306857,22.81471012,22.81471012,22.81471012,22.81471012,22.58586582,22.35702152,22.12817723,21.89933293,21.67048864,21.44164434,21.21280004,20.98395575
5_12,20.75511145,20.52626716,20.29742286,20.06857856,19.83973427,19.61088997,19.38204567,19.15320138,18.92435708,18.69551279,18.46666849,18.23782419,18.0089799,17.7801356,17.5512913,17.32244701,17.09360271,17.39207755,17.6905524,17.98902724,18.28750208,18.58597692,18.88445177,19.18292661,19.48140145,19.77987629,20.07835114,20.37682598,20.67530082,20.97377566,21.27225051,21.57072535,21.86920019,22.16767503,22.46614988,22.76462472,23.06309956,23.06309956,23.06309956,23.06309956,22.839336,22.61557244,22.39180887,22.16804531,21.94428175,21.72051819,21.49675462,21.27299106
5_13,21.0492275,20.82546394,20.60170037,20.37793681,20.15417325,19.93040969,19.70664612,19.48288256,19.259119,19.03535544,18.81159187,18.58782831,18.36406475,18.14030119,17.91653762,17.69277406,17.4690105,17.75191401,18.03481753,18.31772105,18.60062456,18.88352808,19.16643159,19.44933511,19.73223863,20.01514214,20.29804566,20.58094917,20.86385269,21.14675621,21.42965972,21.71256324,21.99546676,22.27837027,22.56127379,22.8441773,23.12708082,23.12708082,23.12708082,23.12708082,22.90887471,22.6906686,22.47246249,22.25425638,22.03605027,21.81784416,21.59963805,21.38143195
5_14,21.16322584,20.94501973,20.72681362,20.50860751,20.2904014,20.07219529,19.85398918,19.63578307,19.41757696,19.19937085,18.98116474,18.76295863,18.54475252,18.32654642,18.10834031,17.8901342,17.67192809,17.9502911,18.22865411,18.50701712,18.78538013,19.06374314,19.34210616,19.62046917,19.89883218,20.17719519,20.4555582,20.73392121,21.01228422,21.29064723,21.56901024,21.84737326,22.12573627,22.40409928,22.68246229,22.9608253,23.23918831,23.23918831,23.23918831,23.23918831,23.01486252,22.79053673,22.56621094,22.34188514,22.11755935,21.89323356,21.66890777,21.44458197
5_15,21.22025618,20.99593039,20.7716046,20.5472788,20.32295301,20.09862722,19.87430143,19.64997563,19.42564984,19.20132405,18.97699826,18.75267246,18.52834667,18.30402088,18.07969509,17.85536929,17.6310435,17.92931214,18.22758078,18.52584942,18.82411805,19.12238669,19.42065533,19.71892397,20.01719261,20.31546124,20.61372988,20.91199852,21.21026716,21.5085358,21.80680444,22.10507307,22.40334171,22.70161035,22.99987899,23.29814763,23.59641626,23.59641626,23.59641626,23.59641626,23.35659922,23.11678218,22.87696514,22.6371481,22.39733105,22.15751401,21.91769697,21.67787993
5_16,21.43806289,21.19824584,20.9584288,20.71861176,20.47879472,20.23897768,19.99916063,19.75934359,19.51952655,19.27970951,19.03989247,18.80007542,18.56025838,18.32044134,18.0806243,17.84080726,17.60099021,17.89833249,18.19567477,18.49301705,18.79035932,19.0877016,19.38504388,19.68238615,19.97972843,20.27707071,20.57441299,20.87175526,21.16909754,21.46643982,21.76378209,22.06112437,22.35846665,22.65580892,22.9531512,23.25049348,23.54783576,23.54783576,23.54783576,23.54783576,23.3287439,23.10965205,22.8905602,22.67146834,22.45237649,22.23328464,22.01419279,21.79510093
5_17,21.57600908,21.35691723,21.13782537,20.91873352,20.69964167,20.48054982,20.26145796,20.04236611,19.82327426,19.6041824,19.38509055,19.1659987,18.94690685,18.72781499,18.50872314,18.28963129,18.07053943,18.33432384,18.59810824,18.86189265,19.12567706,19.38946146,19.65324587,19.91703027,20.18081468,20.44459908,20.70838349,20.97216789,21.2359523,21.4997367,21.76352111,22.02730551,22.29108992,22.55487433,22.81865873,23.08244314,23.34622754,23.34622754,23.34622754,23.34622754,23.11494977,22.88367199,22.65239422,22.42111644,22.18983867,21.95856089,21.72728311,21.49600534
5_18,21.26472756,21.03344979,20.80217201,20.57089424,20.33961646,20.10833869,19.87706091,19.64578314,19.41450536,19.18322759,18.95194981,18.72067204,18.48939426,18.25811649,18.02683871,17.79556094,17.56428316,17.88213097,18.19997878,18.5178266,18.83567441,19.15352222,19.47137003,19.78921784,20.10706565,20.42491347,20.74276128,21.06060909,21.3784569,21.69630471,22.01415252,22.33200034,22.64984815,22.96769596,23.28554377,23.60339158,23.9212394,23.9212394,23.9212394,23.9212394,23.67619198,23.43114456,23.18609714,22.94104972,22.6960023,22.45095488,22.20590747,21.96086005
5_19,21.71581263,21.47076521,21.22571779,20.98067037,20.73562295,20.49057554,20.24552812,20.0004807,19.75543328,19.51038586,19.26533844,19.02029102,18.77524361,18.53019619,18.28514877,18.04010135,17.79505393,18.06792736,18.3408008,18.61367423,18.88654766,19.15942109,19.43229452,19.70516795,19.97804139,20.25091482,20.52378825,20.79666168,21.06953511,21.34240854,21.61528198,21.88815541,22.16102884,22.43390227,22.7067757,22.97964913,23.25252257,23.25252257,23.25252257,23.25252257,23.0313236,22.81012463,22.58892566,22.36772669,22.14652773,21.92532876,21.70412979,21.48293082
5_20,21.26173186,21.04053289,20.81933392,20.59813495,20.37693598,20.15573702,19.93453805,19.71333908,19.49214011,19.27094115,19.04974218,18.82854321,18.60734424,18.38614527,18.16494631,17.94374734,17.72254837,18.01967643,18.31680448,18.61393254,18.9110606,19.20818865,19.50531671,19.80244476,20.09957282,20.39670088,20.69382893,20.99095699,21.28808504,21.5852131,21.88234116,22.17946921,22.47659727,22.77372532,23.07085338,23.36798144,23.66510949,23.66510949,23.66510949,23.66510949,23.42854077,23.19197205,22.95540333,22.71883461,22.48226588,22.24569716,22.00912844,21.77255972
5_21,21.535991,21.29942228,21.06285356,20.82628483,20.58971611,20.35314739,20.11657867,19.88000995,19.64344123,19.4068725,19.17030378,18.93373506,18.69716634,18.46059762,18.2240289,17.98746018,17.75089145,18.05381461,18.35673777,18.65966092,18.96258408,19.26550724,19.56843039,19.87135355,20.17427671,20.47719986,20.78012302,21.08304618,21.38596933,21.68889249,21.99181565,22.2947388,22.59766196,22.90058512,23.20350827,23.50643143,23.80935459,23.80935459,23.80935459,23.80935459,23.5819376,23.35452061,23.12710362,22.89968663,22.67226965,22.44485266,22.21743567,21.99001868
